#Release 9.1i - par J.30
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Wed Mar 07 13:00:58 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       multiplexer8to1_map.ncd
#OUTPUT FILE:      multiplexer8to1_pad.csv
#PART TYPE:        xc3s250e
#SPEED GRADE:      -4
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_3,UNUSED,,3,,,,,,,,,,
P3,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,,
P4,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,,
P5,,DIFFS,IO_L02N_3/VREF_3,UNUSED,,3,,,,,,,,,,
P6,,IBUF,IP,UNUSED,,3,,,,,,,,,,
P7,,,VCCAUX,,,,,,,,2.5,,,,,
P8,,DIFFM,IO_L03P_3,UNUSED,,3,,,,,,,,,,
P9,,DIFFS,IO_L03N_3,UNUSED,,3,,,,,,,,,,
P10,,,GND,,,,,,,,,,,,,
P11,,DIFFM,IO_L04P_3,UNUSED,,3,,,,,,,,,,
P12,,DIFFS,IO_L04N_3,UNUSED,,3,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,,
P14,,IBUF,IP,UNUSED,,3,,,,,,,,,,
P15,,DIFFM,IO_L05P_3,UNUSED,,3,,,,,,,,,,
P16,,DIFFS,IO_L05N_3,UNUSED,,3,,,,,,,,,,
P17,,,GND,,,,,,,,,,,,,
P18,,DIFFM,IO_L06P_3,UNUSED,,3,,,,,,,,,,
P19,,DIFFS,IO_L06N_3,UNUSED,,3,,,,,,,,,,
P20,I<2>,IBUF,IP/VREF_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
P21,,,VCCO_3,,,3,,,,,2.50,,,,,
P22,,DIFFM,IO_L07P_3/LHCLK0,UNUSED,,3,,,,,,,,,,
P23,,DIFFS,IO_L07N_3/LHCLK1,UNUSED,,3,,,,,,,,,,
P24,,DIFFM,IO_L08P_3/LHCLK2,UNUSED,,3,,,,,,,,,,
P25,I<3>,IBUF,IO_L08N_3/LHCLK3/IRDY2,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
P26,I<4>,IBUF,IP,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,,NO,NONE,
